		// migemo-dictの追加辞書(Fallout4バニラレコード抽出)
		// 最終更新: 2018/03/19 BowmoreLover
		// 本辞書の用途について:
		// ・migemo-dictにマージすることを想定した追加辞書
		// ・辞書キーを置き換えるのではなく、候補列への置き換え/追加を想定している
		// ・migemo-dictとは異なり、本ファイルではタブで始まる行はコメント扱い
		// 本辞書の内容:
		// ・英語のスペリングで日本語を検索するための辞書
		// ・バニラのプラグインから*:FULL, *:SHRTレコードの英語原文・日本語訳文を抽出した

sentry torso right shoulder unstable fat man launcher	セントリー胴体右肩の不安定なヌカランチャー
you can only place flavors of nuka-cola on this rack.	このラックにはヌカ・コーラしか置けない
electrified serrated blade chinese officer sword mod	中国軍将校の剣・帯電したノコギリ状の刃
sentry torso left shoulder unstable fat man launcher	セントリー胴体左肩の不安定なヌカランチャー
you are now enemies with the residents of vault 118.	Vault 118居住者と敵対関係になりました
double-barrel shotgun calibrated powerful receiver	ダブルバレル・キャリブレートパワフルレシーバー
maximum security holding facility - systems status	重セキュリティ収容施設 - システムステータス
assaultron front warmonger serrated storage plate	アサルトロン・フロント好戦ノコギリ状プレート
combat shotgun armor piercing automatic receiver	ショットガン・徹甲オートレシーバー
handmade rifle armor piercing automatic receiver	ハンドメイドライフル・徹甲オートレシーバー
assault rifle armor piercing automatic receiver	アサルト・徹甲オートレシーバー
combat shotgun short ported and shielded barrel	ショットガン・ショートポーテッド・シールドバレル
general atomics factory receptionist's terminal	ゼネラル・アトミックス工場受付係ターミナル
lever action rifle calibrated powerful receiver	レバーアクションライフル・キャリブレーテッド強力レシーバー
sentry right shoulder unstable fat man launcher	セントリー右肩の不安定なヌカランチャー
combat rifle armor piercing automatic receiver	ライフル・徹甲オートレシーバー
combat shotgun hardened piercing auto receiver	ショットガン・徹甲ハードオートレシーバー
combat shotgun long ported and shielded barrel	ショットガン・ロングポーテッド・シールドバレル
handmade rifle hardened piercing auto receiver	ハンドメイドライフル・徹甲ハードオートレシーバー
institute laser quantum gyro compensating lens	インスティチュート・量子ジャイロ補正レンズ
protectron right hand merciless serrated plate	プロテクトロン右手無慈悲ノコギリ状プレート
radium rifle armor piercing automatic receiver	ラジウムライフル・徹甲オートレシーバー
sentry left shoulder unstable fat man launcher	セントリー左肩の不安定なヌカランチャー
universal pyrotechnics firework mortar control	ユニバーサル・パイロテクニクス社花火迫撃砲コントロール
assault rifle hardened piercing auto receiver	アサルト・徹甲ハードオートレシーバー
assaultron right arm warmonger serrated plate	アサルトロン右腕好戦ノコギリ状プレート
assaultron right leg merciless serrated plate	アサルトロン右脚無慈悲ノコギリ状プレート
assaultron right leg warmonger serrated plate	アサルトロン右脚好戦ノコギリ状プレート
companion situational awareness test location	仲間の状況認識力テストロケーション
pipe bolt-action calibrated powerful receiver	パイプボルト・キャリブレートパワフルレシーバー
protectron left hand merciless serrated plate	プロテクトロン左手無慈悲ノコギリ状プレート
protectron right leg merciless serrated plate	プロテクトロン右脚無慈悲ノコギリ状プレート
robobrain treads mid warmonger serrated plate	ロボブレイン走行部中央好戦ノコギリ状プレート
assaultron left arm warmonger serrated plate	アサルトロン左腕好戦ノコギリ状プレート
assaultron left leg merciless serrated plate	アサルトロン左脚無慈悲ノコギリ状プレート
assaultron left leg warmonger serrated plate	アサルトロン左脚好戦ノコギリ状プレート
combat rifle hardened piercing auto receiver	ライフル・徹甲ハードオートレシーバー
feel less tired and delay the need to sleep.	疲れが減り、睡眠が必要になるまでの時間が延びる
handmade rifle short covered improved barrel	ハンドメイドライフル・改良ショートカバー溶接バレル
lever action rifle medium night vision scope	レバーアクションライフル・中距離暗視スコープ
lever action rifle recoil compensating stock	レバーアクションライフル・リコイル吸収ストック
protectron left leg merciless serrated plate	プロテクトロン左脚無慈悲ノコギリ状プレート
radium rifle hardened piercing auto receiver	ラジウムライフル・徹甲ハードオートレシーバー
robobrain treads mid warmonger storage plate	ロボブレイン走行部中央好戦ストレージプレート
shocking heavy sharp rocket sledgehammer mod	スレッジハンマー・鋭利重量化ショックロケット
combat shotgun calibrated powerful receiver	ショットガン・キャリブレートパワフルレシーバー
double-barrel shotgun hair trigger receiver	ダブルバレル・ヘアトリガーレシーバー
double-barrel shotgun reflex sight (circle)	ダブルバレル・リフレックスサイト(円)
electrified blade chinese officer sword mod	中国軍将校の剣・帯電
handmade rifle calibrated powerful receiver	ハンドメイドライフル・キャリブレートパワフルレシーバー
handmade rifle long covered improved barrel	ハンドメイドライフル・改良ロングカバーバレル
lever action rifle short night vision scope	レバーアクションライフル・短距離暗視スコープ
protectron right hand warmonger toxic plate	プロテクトロン右手好戦毒性プレート
robobrain right hand warmonger spiked plate	ロボブレイン右手好戦スパイクプレート
searing heavy sharp rocket sledgehammer mod	スレッジハンマー・鋭利重量化ヒートロケット
sentry right leg warmonger staggering plate	セントリー右脚好戦スタッガープレート
sentry right shoulder unstable gas launcher	セントリー右肩の不安定なガスランチャー
shocking puncturing rocket baseball bat mod	バット・穿孔ショックロケット
the brotherhood now controls this location.	B.O.S.がこの場所を支配している
